Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
BTC-USD,Bitcoin USD,"30,322.52",+841.67,+2.85%,586.744B,19.168B,19.168B,19.168B,19.35M,,
ETH-USD,Ethereum USD,"2,089.02",+11.81,+0.57%,249.363B,8.985B,8.985B,8.985B,119.368M,,
USDT-USD,Tether USD,1.0002,-0.0003,-0.03%,81.079B,32.064B,32.064B,32.064B,81.061B,,
BNB-USD,BNB USD,342.10,+1.26,+0.37%,53.322B,740.672M,740.672M,740.672M,155.865M,,
USDC-USD,USD Coin USD,0.999987,+0.000042,+0.00%,31.374B,4.324B,4.324B,4.324B,31.375B,,
XRP-USD,XRP USD,0.522025,+0.010990,+2.15%,27.015B,1.037B,1.037B,1.037B,51.751B,,
ADA-USD,Cardano USD,0.440946,+0.007218,+1.66%,15.337B,342.45M,342.45M,342.45M,34.782B,,
DOGE-USD,Dogecoin USD,0.092930,+0.001367,+1.49%,12.917B,820.845M,820.845M,820.845M,138.994B,,
STETH-USD,Lido Staked ETH USD,"2,076.56",+6.10,+0.29%,12.549B,20.025M,20.025M,20.025M,6.043M,,
HEX-USD,HEX USD,0.068309,-0.001789,-2.55%,11.846B,8.482M,8.482M,8.482M,173.411B,,
MATIC-USD,Polygon USD,1.1657,+0.0125,+1.09%,10.747B,312.715M,312.715M,312.715M,9.219B,,
SOL-USD,Solana USD,24.75,+0.12,+0.49%,9.709B,485.673M,485.673M,485.673M,392.327M,,
DOT-USD,Polkadot USD,6.8897,+0.2084,+3.12%,8.112B,240.29M,240.29M,240.29M,1.177B,,
LTC-USD,Litecoin USD,101.35,+2.95,+3.00%,7.372B,696.366M,696.366M,696.366M,72.734M,,
AVAX-USD,Avalanche USD,21.09,+0.55,+2.69%,6.888B,293.74M,293.74M,293.74M,326.613M,,
SHIB-USD,Shiba Inu USD,0.000012,+0.000000,+1.42%,6.799B,214.81M,214.81M,214.81M,589.544T,,
WTRX-USD,Wrapped TRON USD,0.066405,+0.000418,+0.63%,6.752B,"394,975","394,975","394,975",101.676B,,
BUSD-USD,Binance USD USD,0.999848,+0.000020,+0.00%,6.655B,3.334B,3.334B,3.334B,6.656B,,
TRX-USD,TRON USD,0.066447,+0.000614,+0.93%,6.032B,181.295M,181.295M,181.295M,90.773B,,
DAI-USD,Dai USD,0.999588,+0.000050,+0.01%,5.056B,120.532M,120.532M,120.532M,5.058B,,
WBTC-USD,Wrapped Bitcoin USD,"30,313.85",+822.26,+2.79%,4.651B,116.944M,116.944M,116.944M,"153,412",,
LINK-USD,Chainlink USD,8.5778,+0.3399,+4.13%,4.436B,514.85M,514.85M,514.85M,517.1M,,
UNI7083-USD,Uniswap USD,6.3185,+0.1911,+3.12%,3.649B,100.36M,100.36M,100.36M,577.487M,,
ATOM-USD,Cosmos USD,12.51,+0.11,+0.90%,3.582B,142.572M,142.572M,142.572M,286.37M,,
OKB-USD,OKB USD,54.39,+1.89,+3.59%,3.263B,44.519M,44.519M,44.519M,60M,,
